cest;ncm
21.070.00;7
21.071.00;8528
21.071.00;7
21.072.00;8528
21.072.00;7
21.073.00;8528
21.073.00;7
21.074.00;9006
21.074.00;59
21.075.00;9006.40.00
21.076.00;9018.90.50
21.077.00;9019.10.00
21.078.00;9032.89.11
21.079.00;9504.50.00
21.080.00;8517.62.1
21.081.00;8517.62.22
21.082.00;8517.62.39
21.083.00;8517.62.4
21.084.00;8517.62.62
21.085.00;8517.62.9
21.086.00;8517.70.21
21.087.00;8214.90
21.087.00;8510
21.088.00;8414
21.088.00;5
21.089.00;8414.59.90
21.090.00;8414.60.00
21.091.00;8414.90.20
21.092.00;8415.10
21.092.00;8415.8
21.093.00;8415.10.11
21.094.00;8415.10.19
21.095.00;8415.10.90
21.096.00;8415.90.10
21.097.00;8415.90.20
21.098.00;8421.21.00
21.098.01;8421.21.00
21.099.00;8424.30.10
21.099.00;8424.30.90
21.099.00;8424.90.90
21.100.00;8467.21.00
21.101.00;8516
21.101.00;2
21.102.00;8516.31.00
21.103.00;8516.32.00
21.104.00;8527
21.105.00;8479.60.00
21.106.00;8415.90.90
21.107.00;8525.80.19
21.108.00;8423.10.00
21.109.00;8540
21.110.00;8517
21.111.00;8517
21.112.00;8529
21.113.00;8531
21.114.00;8531
21.114.00;1
21.115.00;8531.80.00
21.116.00;8534
21.117.00;8541.40.11
21.117.00;8541.40.21
21.117.00;8541.40.22
21.118.00;8543.70.92
21.119.00;9030
21.119.00;3
21.120.00;9030
21.120.00;89
21.121.00;9107
21.122.00;9405
21.123.00;9405.10
21.123.00;9405.9
21.124.00;9405.20.00
21.124.00;9405.9
21.125.00;9405.40
21.125.00;9405.9
21.126.00;8542.31.90
22.001.00;2309
23.001.00;2105
23.002.00;1806
23.002.00;1901
23.002.00;2106
24.001.00;3208
24.001.00;3209
24.001.00;3210.00
24.002.00;2821
24.002.00;3204.17.00
24.002.00;3206
24.003.00;3204
24.003.00;3205.00.00
24.003.00;3206
24.003.00;3212
25.001.00;8702.10.00
25.002.00;8702.90.90
25.003.00;8703.21.00
25.004.00;8703.22.10
25.005.00;8703.22.90
25.006.00;8703.23.10
25.007.00;8703.23.90
25.008.00;8703.24.10
25.009.00;8703.24.90
25.010.00;8703.32.10
25.011.00;8703.32.90
25.012.00;8703.33.10
25.013.00;8703.33.90
25.014.00;8704.21.10
25.015.00;8704.21.20
