codigo;uf;ex;nacionalfe;importados;estadual;municipal
04014029;SP;01;4.20;13.86;0.00;0.00
04015010;SP;;4.20;13.86;0.00;0.00
04015021;SP;;4.20;14.98;7.00;0.00
04015021;SP;01;4.20;14.98;7.00;0.00
04015029;SP;;4.20;13.86;7.00;0.00
04015029;SP;01;4.20;13.86;7.00;0.00
04021010;SP;;4.20;21.83;7.00;0.00
04021090;SP;;4.20;21.83;7.00;0.00
04022110;SP;;4.20;25.75;7.00;0.00
04022120;SP;;4.20;25.75;7.00;0.00
04022130;SP;;4.20;16.06;7.00;0.00
04022910;SP;;4.20;25.75;7.00;0.00
04022920;SP;;4.20;21.83;7.00;0.00
04022930;SP;;4.20;16.06;7.00;0.00
04029100;SP;;4.20;14.98;0.00;0.00
04029100;SP;01;4.20;14.98;0.00;0.00
04029900;SP;;4.20;21.83;0.00;0.00
04029900;SP;01;4.20;21.83;0.00;0.00
04031000;SP;;4.20;15.62;7.00;0.00
04031000;SP;01;4.20;15.62;7.00;0.00
04039000;SP;;4.20;15.62;0.00;0.00
04039000;SP;01;4.20;15.62;0.00;0.00
04041000;SP;;4.20;15.24;7.00;0.00
04041000;SP;01;4.20;15.24;7.00;0.00
04049000;SP;;4.20;11.28;7.00;0.00
04049000;SP;01;4.20;11.28;7.00;0.00
04051000;SP;;4.20;14.70;7.00;0.00
04052000;SP;;4.20;11.90;7.00;0.00
04059010;SP;;4.20;11.90;7.00;0.00
04059090;SP;;4.20;11.90;7.00;0.00
04061010;SP;;4.20;19.02;12.00;0.00
04061090;SP;;4.20;14.29;12.00;0.00
04062000;SP;;4.20;14.29;12.00;0.00
04063000;SP;;4.20;14.29;7.00;0.00
04064000;SP;;4.20;14.29;7.00;0.00
04069010;SP;;4.20;19.02;7.00;0.00
04069020;SP;;4.20;19.02;12.00;0.00
04069030;SP;;4.20;14.29;7.00;0.00
04069090;SP;;4.20;14.29;7.00;0.00
04071100;SP;;4.20;6.20;7.00;0.00
04071900;SP;;4.20;6.20;7.00;0.00
04072100;SP;;4.20;9.26;7.00;0.00
04072900;SP;;4.20;9.26;7.00;0.00
04079000;SP;;4.20;9.26;7.00;0.00
04081100;SP;;4.20;9.96;7.00;0.00
04081900;SP;;4.20;9.96;7.00;0.00
04081900;SP;01;4.20;9.96;7.00;0.00
04089100;SP;;4.20;9.96;7.00;0.00
04089900;SP;;4.20;9.96;7.00;0.00
04089900;SP;01;4.20;9.96;7.00;0.00
04090000;SP;;4.20;11.90;7.00;0.00
04090000;SP;01;4.20;11.90;7.00;0.00
04100000;SP;;4.20;11.28;7.00;0.00
05010000;SP;;13.45;15.53;18.00;0.00
05021011;SP;;13.45;15.53;18.00;0.00
05021019;SP;;13.45;15.53;18.00;0.00
05021090;SP;;13.45;15.53;18.00;0.00
05029010;SP;;13.45;15.53;18.00;0.00
05029020;SP;;13.45;15.53;18.00;0.00
05040011;SP;;13.45;15.53;12.00;0.00
05040012;SP;;13.45;15.53;12.00;0.00
05040013;SP;;13.45;15.53;12.00;0.00
05040019;SP;;13.45;15.53;12.00;0.00
05040090;SP;;13.45;15.49;12.00;0.00
05051000;SP;;13.45;15.53;18.00;0.00
05059000;SP;;13.45;15.53;18.00;0.00
05061000;SP;;13.45;15.53;18.00;0.00
05069000;SP;;4.20;6.28;18.00;0.00
05071000;SP;;13.45;15.53;18.00;0.00
05079000;SP;;13.45;15.53;18.00;0.00
05080000;SP;;13.45;15.53;18.00;0.00
05100010;SP;;4.20;6.20;18.00;0.00
05100090;SP;;13.45;15.47;18.00;0.00
05111000;SP;;4.20;6.20;0.00;0.00
05119110;SP;;13.45;15.45;18.00;0.00
05119190;SP;;13.45;15.53;18.00;0.00
05119910;SP;;4.20;6.20;0.00;0.00
05119920;SP;;4.20;6.20;0.00;0.00
